Category,Lat,Long,Cases
Measles,26.820553,30.802498,5000
Measles,52.35552,-1.17432,10
Measles,50.77721, -3.99946 ,2
Whooping Cough,52.47507, -1.82983 ,95
Whooping Cough,52.47507, -1.82983 ,135
Measles,1.650801,10.267895,300
Polio,1.65080,10.26789,5
Measles,58.59527,25.01361,3
Measles,9.14501,40.489673,3255
Measles,9.23953,40.58229,8261
Measles,9.19412,40.57191,4470
Measles,9.16591,40.51148,3100
Measles,9.14500,40.48967,3322
Measles,9.51359,37.39153,929
Other,5.34045,37.43879,31
Polio,6.66123,43.79085,6
Polio,4.17552,42.05770,1
Measles,5.32828,162.97273,2
Measles,-17.69939,178.07190,3
Other,-17.77484,177.83638,42
Rubella,-16.7199,178.065032,28
Other,-17.71337,178.06503,224
Measles,61.92411,25.74815,5
Measles,60.25117,24.0675,1
Measles,44.59047,-0.21973,859
Measles,46.227638,3.21453,14949
Measles,48.31818,7.44162,169
Whooping Cough,-16.5004126,-151.74149039999997,2
Measles,43.40233,45.71875,2668
Measles,42.31541, 43.35689 ,3191
Measles,41.71667, 44.78333 ,100
Measles,50.92554,10.76111,183
Measles,51.165691,10.451526,13
Measles,48.79045,11.49789,60
Measles,52.51917,13.40609,323
Mumps,48.790447,11.497889,115
Measles,52.523405,13.4114,62
Measles,52.49347,13.53756,849
Measles,53.55108,9.99368,216
Measles,50.111445,8.680615,45
Measles,50.94365,6.73491,29
Measles,49,8.4,1
Other,51.16569,10.45153,4
Measles,9.39398,-0.82372,3
Other,7.946527,-1.023194,96
Measles,36.137741,-5.345374,250
Measles,39.074208,21.824312,126
Mumps,13.444304,144.793731,142
Measles,13.44430,144.79373,1
Whooping Cough,13.46701,144.75082,11
Other,15.783471,-90.230759,4336
Other,10.16937,-9.86256,233
Measles,10.16937,-9.86256,129
Measles,12.00800, -14.75195 ,12
Polio,10.27709,-10.41504,3
Measles,9.945587,-9.696645,1013
Other,18.971187,-72.285215,33
Polio,20.593684,78.96288,5
Measles,27.25831,93.03759,30
Polio,22.98676,87.85498,1
Measles,23.25993,77.41262,50
Other,29.058776,76.085601,43
Other,29.06772,76.10916,14
Measles,34.149088,76.825965,5
Measles,28.57552,77.24195,29339
Polio,19.75148,75.71389,4
Whooping Cough,27.023804,74.217933,5
Measles,19.16667,83.41667,9
Measles,27.570589,80.098187,5
Measles,19.31496,84.79409,20
Measles,20.994481,86.111813,10
Polio,27.570589,80.098187,32
Measles,22.23421,82.04071,3
Measles,12.97160,77.59456,40
Measles,22.26776,70.79950,11
Measles,28.56562,77.24339,800
Other,22.71957        ,75.85773,15
Other,17.38504,78.48667,15
Measles,24.6348197,77.2979782,11
Polio,28.56562,77.24339,1
Rubella,-0.78928,113.92133,3
Measles,-2.28455,120.27832,21893
Measles,-8.40952,115.18892,6300
Other,-6.21154,106.84517,1
Polio,33.32500,44.42200,2
Measles,33.31281,44.36149,976
Measles,55.9845,-5.935594,60
Measles,53.581657,-5.935594,8
Measles,53.34399,-6.30615,139
Measles,53.41291,-8.24389,217
Measles,53.27854,-9.06046,15
Mumps,54.99661, -7.30857 ,2000
Mumps,31.046051,34.851612,4185
Measles,31.44741,34.9585,12
Measles,31.04605,34.85161,96
Mumps,31.99991,36.851612,105
Polio,31.24757,34.86119,7
Measles,41.87194,12.56738,5189
Measles,42.9725,12.40356,724
Measles,41.87194,12.56738,1642
Rubella,35.63944,136.53809,2353
Rubella,37.99616,140.05371,10102
Measles,39.26628,140.93262,293
Measles,36.20482,138.25292,119
Measles,36.20482,138.25292,1
Measles,43.71885,54.19707,317
Measles,47.45121,64.48289,212
Polio,-0.02356,37.90619,3
Polio,-0.023559,37.01231,13
Polio,0.05426,40.30837,14
Measles,-0.05725,37.83897,1279
Measles,1.58887,35.285,500
Measles,0.18359,35.12688,5
Measles,0.78333,34.71667,20
Measles,-1.08333,35.86667,346
Measles,-0.0418,37.94291,1374
Measles,3.62682,36.00232,21
Measles,42.09098, 74.15086 ,7031
Measles,40.53,72.8,7400
Polio,18.436292,104.472330,4
Measles,6.428055,-9.429499,1341
Measles,6.99813,-9.47343,2
Measles,6.51519,-10.30489,77
Measles,7.49526, -10.08073 ,11
Whooping Cough,4.72589, -7.74167 ,500
Measles,-29.60999,28.23361,2857
Mumps,41.608635,21.745275,16352
Measles,42.003812,21.452246,678
Polio,-20.0000,47.0000,1
Polio,-20.937637,44.878710,10
Measles,-13.254308,36.301525,77000
Measles,-13.28113,34.31228,533
Measles,-13.22942,34.32369,19
Measles,4.21048,101.97577,332
Measles,4.21048,101.97577,56
Measles,4.21048,101.97577,74
Measles,4.21048,101.97577,1569
Measles,4.21048,101.97577,1223
Measles,4.210484,101.975766,602
Polio,19.14517,-1.05469,7
Measles,17.570692,-3.996166,1990
Measles,17.58193,-3.92495,3086
Polio,12.6392316,-8.002889200000027,2
Measles,21.00789,-10.94084,863
Measles,21.018111,-101.25832,1
Measles,24.26694,-98.836275,2
Measles,31.74777,-115.66517,1
Measles,46.86250,103.84666,"17,850"
Measles,-18.6657,35.52956,2318
Polio,21.913965,95.956223,1
Measles,23.16056,97.91016,40
Polio,19.81009,93.98784,2
Measles,-17.7836,15.6994,30
Measles,-17.59793,16.81784,10
Measles,-22.97238,18.55453,2242
Measles,-22.95764,18.49041,2222
Measles,26.876192,85.80766,400
Measles,51.49403,3.84968,2016
Measles,52.13263,5.29127,2
Mumps,52.132633,5.291266,172
Measles,52.090142,4.065843,34
Whooping Cough,52.43878,6.50164,12868
Whooping Cough,-44.55916,170.2002,328
Measles,-36.87797,174.57962,75
Measles,-36.00846,175.01532,30
Measles,-40.6655,175.55555,104
Measles,-36.84846,174.76333,105
Rubella,-39.84846,174.65201,2
Whooping Cough,-43.754227,171.163725,15
Measles,-39.771162,177.04313,12
Whooping Cough,-41.27063,173.28397,67
Rubella,-35.579546,173.762405,1
Measles,-44.82801,169.63453,2
Measles,-45.48489,170.71489,1
Measles,-41.1339,174.8406,3
Measles,-45.80201,168.2309,3
Measles,-41.28643,174.77624,4
Measles,-38.05943,175.43756,281
Measles,-36.84846,174.76333,1
Measles,-40.35231,175.6082,3
Whooping Cough,-45.15267,169.89263,200
Whooping Cough,14.050776,-85.106437,70
Measles,17.607789,8.081666,352
Measles,13.512668,2.112516,1630
Polio,18.22935,10.45898,5
Polio,18.81272,11.51367,1
Polio,14.901,5.26667,1
Measles,17.607789,8.081666,109
Measles,9.05582,8.62667,9415
Measles,9.04361,8.64967,4800
Measles,8.000042,5.675277,14028
Measles,9.6874,7.64648,18843
Measles,11.7383,6.02051,471
Measles,11.67812,4.06955,229
Measles,8.9719,4.57031,36428
Measles,2.54756,9.01244,1260
Measles,4.867777,5.898714,9
Measles,9.32505,12.43806,17
Polio,10.00243,8.99999,3
Polio,9.34067,8.25348,62
Polio,10.51667,7.43333,121
Polio,12.12052,13.17403,51
Polio,9,9,26
Other,12.187141,11.706829,51
Other,9.187141,11.706829,322
Measles,9.0764785,7.398574,41
Measles,11.6781241,4.0695454,329
Measles,12.5139317,7.6114217,2781
Measles,60.47202,8.46895,33
Mumps,60.472024,8.468946,80
Measles,40.10000,124.40000,3
Polio,27.09825,66.18164,144
Polio,27.09825,66.18164,198
Polio,28.53627,67.23633,58
Polio,28.61346,63.7207,85
Polio,30.37532,69.34512,356
Measles,26.724409,67.769547,11
Measles,28.0332,64.73145,4386
Measles,28.24006,69.18523,45
Measles,34.95262,72.33111,648
Measles,25.81473,68.57666,20
Measles,25.8943,68.52471,43
Measles,25.82462,67.8186,246
Measles,25.2745,67.56592,2475
Measles,25.8943,68.52471,737
Measles,25.89430,68.52471,2
Measles,31.17041,72.70972,582
Measles,28.49073,65.09578,102
Measles,32.66748,69.85974,49
Measles,33.71815,73.06055,14
Measles,32.32024,70.27506,70
Measles,34.33333,73.20001,2
Measles,32.98374,70.29053,5
Measles,35.47824,72.5885,100
Measles,32.66748,67.8721,25
Measles,34.21722,71.55556,3
Measles,33.6058,73.04375,23
Measles,30.19019,71.45802,40
Measles,32.15001,74.18333,6
Measles,27.91677,67.0166,25401
Measles,30.2389,71.48666,5
Measles,33.63663,73.06732,59
Measles,31.17041,72.70972,146
Measles,31.47532,69.34512,1329
Measles,28.49073,65.09578,400
Measles,25.67849,68.50236,2
Rubella,24.75789,67.92614,100
